"value","lag","rr"
0,0,1.0021907727822
0.2,0,1.00090875493565
0.4,0,0.999658900312747
0.6,0,0.998444145812555
0.8,0,0.99726741696141
1,0,0.996131629007912
1.2,0,0.995039688104013
1.4,0,0.993994492571906
1.6,0,0.992998934256533
1.8,0,0.992055899963671
2,0,0.991168272983631
2.2,0,0.990338934700761
2.4,0,0.98957076628907
2.6,0,0.988866650494405
2.8,0,0.988229473503794
3,0,0.987662126902703
3.2,0,0.987167509721108
3.4,0,0.986747552101196
3.6,0,0.98639962244592
3.8,0,0.986119772830435
4,0,0.985904074210172
4.2,0,0.985748613967783
4.4,0,0.985649493457948
4.6,0,0.985602825710295
4.8,0,0.985604733288812
5,0,0.98565134630642
5.2,0,0.985738800593568
5.4,0,0.985863236019951
5.6,0,0.986020794968624
5.8,0,0.986207620961964
6,0,0.98641985743911
6.2,0,0.986653646684629
6.4,0,0.986905128908298
6.6,0,0.987170441475989
6.8,0,0.987445718291759
7,0,0.98772708933129
7.2,0,0.988010680326913
7.4,0,0.988292612604481
7.6,0,0.988569003072373
7.8,0,0.988835964362947
8,0,0.989089605126722
8.2,0,0.98932603047956
8.4,0,0.989542065888186
8.6,0,0.989738316437258
8.8,0,0.989916620455361
9,0,0.990078819319791
9.2,0,0.990226756470555
9.4,0,0.990362277127084
9.6,0,0.990487228039248
9.8,0,0.990603457272757
10,0,0.990712814029006
10.2,0,0.990817148499411
10.4,0,0.990918311754273
10.6,0,0.991018155666218
10.8,0,0.991118532868225
11,0,0.991221296746282
11.2,0,0.991328301466688
11.4,0,0.991441402038026
11.6,0,0.991562454407844
11.8,0,0.991693315594058
12,0,0.991835843851136
12.2,0,0.991991898871093
12.4,0,0.992163342019362
12.6,0,0.9923520366056
12.8,0,0.992559848189514
13,0,0.992788644921806
13.2,0,0.993040297920335
13.4,0,0.99331618414297
13.6,0,0.993614773134895
13.8,0,0.993933478879401
14,0,0.994269711879669
14.2,0,0.994620880135964
14.4,0,0.994984388721088
14.6,0,0.995357639423537
14.8,0,0.995738030458467
15,0,0.996122956246618
15.2,0,0.996509807261357
15.4,0,0.996895969943996
15.6,0,0.997278826687586
15.8,0,0.997655755889358
16,0,0.998024132072007
16.2,0,0.998381326073977
16.4,0,0.99872470530894
16.6,0,0.999051634094589
16.8,0,0.999359474050894
17,0,0.999645584567912
17.2,0,0.999907323343224
17.4,0,1.00014204698903
17.6,0,1.00034711170887
17.8,0,1.00051987404398
18,0,1.00065769168907
18.2,0,1.00075792437747
18.4,0,1.00081833104771
18.6,0,1.00083927199783
18.8,0,1.00082215838248
19,0,1.00076840858446
19.2,0,1.00067944481125
19.4,0,1.00055669258555
19.6,0,1.00040158025541
19.8,0,1.00021553852411
20,0,1
20.2,0,0.999756398766307
20.4,0,0.999486169971161
20.6,0,0.999190749437834
20.8,0,0.9988715732953
21,0,0.998530077629196
21.2,0,0.998167698153201
21.4,0,0.997785869900892
21.6,0,0.997386026938092
21.8,0,0.996969602095709
22,0,0.996538026723088
22.2,0,0.996092730461839
22.4,0,0.995635141040145
22.6,0,0.995166684087501
22.8,0,0.99468878296986
23,0,0.994202858645137
23.2,0,0.993710329539019
23.4,0,0.993213766246274
23.6,0,0.992724234904679
23.8,0,0.992256576488836
24,0,0.991825622639685
24.2,0,0.991446182361393
24.4,0,0.991133048618208
24.6,0,0.990901007142336
24.8,0,0.990764847452631
25,0,0.990739376088055
25.2,0,0.990839432064924
25.4,0,0.991079904573006
25.6,0,0.991475752932475
25.8,0,0.992042028841669
26,0,0.992793900954541
26.2,0,0.993746681836601
26.4,0,0.994915857359171
26.6,0,0.996317118603867
26.8,0,0.997966396362487
27,0,0.999879898331985
27.2,0,1.00207414911999
27.4,0,1.00456603319356
27.6,0,1.00737284092256
27.8,0,1.01051231788938
28,0,1.01400271765882
28.2,0,1.01786285822614
28.4,0,1.02210833123776
28.6,0,1.02672324463812
28.8,0,1.03167578705004
29,0,1.03693368604678
29.2,0,1.04246421245712
29.4,0,1.04823408280918
29.6,0,1.05420937241317
29.8,0,1.06035543934449
30,0,1.06663685966683
30.2,0,1.07301737430249
30.4,0,1.0794598480141
30.6,0,1.08592624100796
30.8,0,1.09237759370337
31,0,1.09877402523374
31.2,0,1.10507474625365
31.4,0,1.11123808662022
31.6,0,1.1172215384962
31.8,0,1.12298181538597
32,0,1.12847492756215
32.2,0,1.13365627427119
32.4,0,1.13848075301799
32.6,0,1.14290288612447
32.8,0,1.14687696463301
33,0,1.15035720948416
33.2,0,1.15329794973863
33.4,0,1.15565935844538
33.6,0,1.15745423137646
33.8,0,1.15872484874406
34,0,1.15951473376501
34.2,0,1.15986817041671
34.4,0,1.15983002642175
34.6,0,1.15944559242506
34.8,0,1.15876043800996
35,0,1.15782028503534
35.2,0,1.15667089862886
35.4,0,1.15535799604249
35.6,0,1.15392717346712
35.8,0,1.1524238508126
