"value","lag","rr"
40,0,1.00288057024893
0,1,1.00087601940951
0.2,1,1.00085795214207
0.4,1,1.00083992695294
0.6,1,1.00082194831494
0.8,1,1.00080402070058
1,1,1.00078614858203
1.2,1,1.00076833643119
1.4,1,1.0007505887196
1.6,1,1.00073290991855
1.8,1,1.00071530449899
2,1,1.00069777693158
2.2,1,1.00068033168669
2.4,1,1.00066297323439
2.6,1,1.00064570604447
2.8,1,1.00062853458642
3,1,1.00061146332947
3.2,1,1.00059449674256
3.4,1,1.00057763929436
3.6,1,1.00056089545327
3.8,1,1.00054426968744
4,1,1.00052776646476
4.2,1,1.00051139025286
4.4,1,1.00049514551913
4.6,1,1.00047903673072
4.8,1,1.00046306835455
5,1,1.0004472448573
5.2,1,1.00043157070545
5.4,1,1.00041605036524
5.6,1,1.00040068830272
5.8,1,1.00038548898373
6,1,1.00037045687392
6.2,1,1.00035559643876
6.4,1,1.00034091214352
6.6,1,1.00032640845333
6.8,1,1.00031208983312
7,1,1.0002979607477
7.2,1,1.00028402566172
7.4,1,1.00027028903967
7.6,1,1.00025675534595
7.8,1,1.00024342904482
8,1,1.00023031460041
8.2,1,1.00021741647679
8.4,1,1.0002047391379
8.6,1,1.00019228704762
8.8,1,1.00018006466974
9,1,1.00016807646801
9.2,1,1.00015632690611
9.4,1,1.00014482044768
9.6,1,1.00013356155635
9.8,1,1.00012255469569
10,1,1.0001118043293
10.2,1,1.00010131492076
10.4,1,1.00009109093368
10.6,1,1.00008113683168
10.8,1,1.00007145707844
11,1,1.00006205613767
11.2,1,1.00005293847314
11.4,1,1.00004410854871
11.6,1,1.00003557082833
11.8,1,1.00002732977603
12,1,1.00001938985598
12.2,1,1.00001175553246
12.4,1,1.00000443126989
12.6,1,0.999997421532861
12.8,1,0.99999073078611
13,1,0.999984363494573
13.2,1,0.999978324123379
13.4,1,0.999972617137867
13.6,1,0.999967247003606
13.8,1,0.999962218186401
14,1,0.999957535152319
14.2,1,0.999953202367695
14.4,1,0.999949224299153
14.6,1,0.99994560541362
14.8,1,0.999942350178342
15,1,0.999939463060902
15.2,1,0.999936948529231
15.4,1,0.999934811051631
15.6,1,0.999933055096788
15.8,1,0.999931685133791
16,1,0.999930705632147
16.2,1,0.999930121061799
16.4,1,0.999929935893145
16.6,1,0.999930154597055
16.8,1,0.999930781644887
17,1,0.999931821508508
17.2,1,0.999933278660311
17.4,1,0.999935157573235
17.6,1,0.99993746272078
17.8,1,0.999940198577031
18,1,0.999943369616672
18.2,1,0.999946980315012
18.4,1,0.999951035147997
18.6,1,0.999955538592234
18.8,1,0.999960495125011
19,1,0.999965909224318
19.2,1,0.999971785368863
19.4,1,0.999978128038097
19.6,1,0.999984941712233
19.8,1,0.999992230872267
20,1,1
20.2,1,1.00000825357806
20.4,1,1.00001699608992
20.6,1,1.00002623193523
20.8,1,1.00003596189819
21,1,1.00004618186927
21.2,1,1.00005688739183
21.4,1,1.00006807400976
21.6,1,1.00007973726743
21.8,1,1.00009187270971
22,1,1.00010447588191
22.2,1,1.00011754232979
22.4,1,1.0001310675995
22.6,1,1.0001450472376
22.8,1,1.00015947679103
23,1,1.00017435180708
23.2,1,1.00018966783334
23.4,1,1.00020542041777
23.6,1,1.00022160510858
23.8,1,1.00023821745428
24,1,1.00025525300361
24.2,1,1.00027270730557
24.4,1,1.00029057590937
24.6,1,1.00030885436441
24.8,1,1.00032753822029
25,1,1.00034662302675
25.2,1,1.00036610433369
25.4,1,1.00038597769112
25.6,1,1.00040623864918
25.8,1,1.0004268827581
26,1,1.00044790556816
26.2,1,1.00046930262972
26.4,1,1.00049106949318
26.6,1,1.00051320170895
26.8,1,1.00053569482747
27,1,1.00055854439914
27.2,1,1.00058174597436
27.4,1,1.00060529510349
27.6,1,1.00062918733682
27.8,1,1.00065341822457
28,1,1.0006779833169
28.2,1,1.00070287816382
28.4,1,1.00072809831528
28.6,1,1.00075363932104
28.8,1,1.00077949673078
29,1,1.00080566609395
29.2,1,1.00083214295989
29.4,1,1.00085892287772
29.6,1,1.00088600139635
29.8,1,1.0009133740645
30,1,1.00094103643065
30.2,1,1.00096898404304
30.4,1,1.00099721244966
30.6,1,1.00102571719824
30.8,1,1.0010544938362
31,1,1.00108353791072
31.2,1,1.00111284496863
31.4,1,1.00114241055648
31.6,1,1.00117223022047
31.8,1,1.00120229950647
32,1,1.00123261396001
32.2,1,1.00126316912625
32.4,1,1.00129396054998
32.6,1,1.00132498377562
32.8,1,1.00135623434718
33,1,1.00138770780828
33.2,1,1.00141939970212
33.4,1,1.00145130557149
33.6,1,1.00148342095874
33.8,1,1.00151574140578
34,1,1.00154826245406
34.2,1,1.0015809796446
34.4,1,1.00161388851793
34.6,1,1.00164698461409
34.8,1,1.00168026347266
35,1,1.00171372063272
35.2,1,1.00174735163285
35.4,1,1.0017811520111
35.6,1,1.00181511730503
35.8,1,1.00184924305167
36,1,1.0018835247875
36.2,1,1.00191795804848
36.4,1,1.00195253837002
36.6,1,1.00198726128697
36.8,1,1.00202212233363
37,1,1.00205711704374
37.2,1,1.00209224095044
37.4,1,1.00212748958634
37.6,1,1.00216285848342
37.8,1,1.0021983431731
38,1,1.0022339391862
38.2,1,1.00226964205293
38.4,1,1.00230544730293
38.6,1,1.00234135046519
38.8,1,1.00237734706811
39,1,1.00241343263947
39.2,1,1.00244960270643
39.4,1,1.00248585279552
39.6,1,1.00252217843266
39.8,1,1.0025585751431
40,1,1.0025950384515
0,2,1.00081661246861
0.2,2,1.00080006354799
0.4,2,1.00078355250742
0.6,2,1.00076708337579
0.8,2,1.00075066018169
1,2,1.00073428695347
1.2,2,1.00071796771923
1.4,2,1.00070170650681
1.6,2,1.00068550734379
1.8,2,1.00066937425751
2,2,1.00065331127506
2.2,2,1.00063732242328
2.4,2,1.00062141172877
2.6,2,1.00060558321791
2.8,2,1.00058984091681
3,2,1.00057418885137
3.2,2,1.00055863104726
3.4,2,1.00054317152993
3.6,2,1.0005278143246
3.8,2,1.00051256345627
4,2,1.00049742294973
4.2,2,1.00048239682958
4.4,2,1.00046748912018
4.6,2,1.00045270384574
4.8,2,1.00043804503022
5,2,1.00042351669743
5.2,2,1.00040912287098
5.4,2,1.00039486757432
5.6,2,1.00038075483069
5.8,2,1.00036678866321
6,2,1.00035297309479
6.2,2,1.00033931214822
6.4,2,1.00032580984613
6.6,2,1.000312470211
6.8,2,1.00029929726517
7,2,1.00028629503087
7.2,2,1.00027346753019
7.4,2,1.0002608187851
7.6,2,1.00024835281748
7.8,2,1.00023607364909
8,2,1.00022398530161
8.2,2,1.00021209179661
8.4,2,1.0002003971556
8.6,2,1.00018890540002
8.8,2,1.00017762055123
9,2,1.00016654663055
9.2,2,1.00015568765925
9.4,2,1.00014504765857
9.6,2,1.00013463064969
9.8,2,1.00012444065381
10,2,1.00011448169209
10.2,2,1.0001047577857
10.4,2,1.00009527295581
10.6,2,1.00008603122361
10.8,2,1.00007703661033
11,2,1.00006829313722
11.2,2,1.00005980482557
11.4,2,1.00005157569674
11.6,2,1.00004360977217
11.8,2,1.00003591107334
12,2,1.00002848362184
12.2,2,1.00002133143937
12.4,2,1.00001445854773
12.6,2,1.00000786896882
12.8,2,1.00000156672471
13,2,0.999995555837591
13.2,2,0.999989840329807
13.4,2,0.99998442422388
13.6,2,0.999979311542506
13.8,2,0.999974506308575
14,2,0.999970012545179
14.2,2,0.999965834275626
14.4,2,0.999961975523453
14.6,2,0.99995844031244
14.8,2,0.999955232666619
15,2,0.999952356610291
15.2,2,0.999949816168039
15.4,2,0.999947615364738
15.6,2,0.999945758225572
15.8,2,0.999944248776047
16,2,0.999943091042005
16.2,2,0.999942289049636
16.4,2,0.999941846825495
16.6,2,0.999941768396515
16.8,2,0.999942057790022
17,2,0.99994271903375
17.2,2,0.999943756155855
17.4,2,0.99994517318493
17.6,2,0.999946974150023
17.8,2,0.999949163080648
18,2,0.999951744006803
18.2,2,0.999954720958986
18.4,2,0.999958097968211
18.6,2,0.999961879066022
18.8,2,0.999966068284512
19,2,0.999970669656335
19.2,2,0.99997568721473
19.4,2,0.999981124993528
19.6,2,0.999986987027179
19.8,2,0.999993277350761
20,2,1
20.2,2,1.00000715901129
20.4,2,1.0000147584217
20.6,2,1.00002280219274
20.8,2,1.00003129102917
21,2,1.00004022122767
21.2,2,1.00004958877222
21.4,2,1.00005938964724
21.6,2,1.00006961983752
21.8,2,1.00008027532828
22,2,1.00009135210509
22.2,2,1.0001028461539
22.4,2,1.00011475346097
22.6,2,1.00012707001291
22.8,2,1.00013979179663
23,2,1.00015291479933
23.2,2,1.00016643500847
23.4,2,1.0001803484118
23.6,2,1.00019465099729
23.8,2,1.00020933875313
24,2,1.00022440766775
24.2,2,1.00023985372975
24.4,2,1.00025567292793
24.6,2,1.00027186125123
24.8,2,1.00028841468877
25,2,1.00030532922979
25.2,2,1.00032260086366
25.4,2,1.00034022557984
25.6,2,1.00035819936791
25.8,2,1.0003765182175
26,2,1.00039517811832
26.2,2,1.00041417506013
26.4,2,1.00043350503273
26.6,2,1.00045316402594
26.8,2,1.00047314802959
27,2,1.00049345303351
27.2,2,1.0005140750275
27.4,2,1.00053501000136
27.6,2,1.00055625394482
27.8,2,1.00057780284759
28,2,1.00059965269927
28.2,2,1.00062179948942
28.4,2,1.00064423920749
28.6,2,1.00066696784284
28.8,2,1.0006899813847
29,2,1.0007132758222
29.2,2,1.0007368471443
29.4,2,1.00076069133985
29.6,2,1.00078480439752
29.8,2,1.0008091823058
30,2,1.00083382105302
30.2,2,1.00085871662731
30.4,2,1.0008838650166
30.6,2,1.00090926220862
30.8,2,1.00093490419085
31,2,1.00096078695057
31.2,2,1.00098690647479
31.4,2,1.0010132587503
31.6,2,1.0010398397636
31.8,2,1.00106664550093
32,2,1.00109367194828
32.2,2,1.0011209150913
32.4,2,1.00114837091538
32.6,2,1.00117603540561
32.8,2,1.00120390454673
33,2,1.00123197432319
33.2,2,1.00126024071911
33.4,2,1.00128869971824
33.6,2,1.00131734730403
33.8,2,1.00134617945955
34,2,1.0013751921675
34.2,2,1.00140438141023
34.4,2,1.00143374316971
34.6,2,1.00146327342752
34.8,2,1.00149296816487
35,2,1.00152282336255
35.2,2,1.00155283500097
35.4,2,1.0015829990601
35.6,2,1.00161331151954
35.8,2,1.00164376835842
36,2,1.00167436555547
36.2,2,1.001705099089
36.4,2,1.00173596493685
36.6,2,1.00176695907643
36.8,2,1.00179807748471
37,2,1.00182931613819
37.2,2,1.00186067101293
37.4,2,1.00189213808451
37.6,2,1.00192371332804
37.8,2,1.00195539271818
38,2,1.00198717222908
38.2,2,1.00201904783444
38.4,2,1.00205101550745
38.6,2,1.00208307122083
38.8,2,1.00211521094679
39,2,1.00214743065707
39.2,2,1.00217972632288
39.4,2,1.00221209391495
39.6,2,1.00224452940349
39.8,2,1.00227702875821
40,2,1.00230958794831
0,3,1.0007572090538
0.2,3,1.00074217830212
0.4,3,1.00072718123732
0.6,3,1.00071222144432
0.8,3,1.00069730250785
1,3,1.00068242801242
1.2,3,1.00066760154234
1.4,3,1.0006528266817
1.6,3,1.00063810701439
1.8,3,1.00062344612412
2,3,1.00060884759436
2.2,3,1.00059431500841
2.4,3,1.00057985194937
2.6,3,1.00056546200015
2.8,3,1.00055114874345
3,3,1.0005369157618
3.2,3,1.00052276663755
3.4,3,1.00050870495285
3.6,3,1.00049473428967
3.8,3,1.00048085822983
4,3,1.00046708035495
4.2,3,1.00045340424648
4.4,3,1.00043983348574
4.6,3,1.00042637165384
4.8,3,1.00041302233176
5,3,1.00039978910033
5.2,3,1.0003866755402
5.4,3,1.00037368523192
5.6,3,1.00036082175585
5.8,3,1.00034808869225
6,3,1.00033548962123
6.2,3,1.00032302812277
6.4,3,1.00031070777674
6.6,3,1.00029853216288
6.8,3,1.00028650486082
7,3,1.00027462945008
7.2,3,1.0002629095101
7.4,3,1.00025134862019
7.6,3,1.0002399503596
7.8,3,1.00022871830746
8,3,1.00021765604285
8.2,3,1.00020676714477
8.4,3,1.00019605519215
8.6,3,1.00018552376385
8.8,3,1.00017517643869
9,3,1.00016501679543
9.2,3,1.00015504841281
9.4,3,1.0001452748695
9.6,3,1.00013569974418
9.8,3,1.00012632661549
10,3,1.00011715906205
10.2,3,1.00010820066249
10.4,3,1.00009945499543
10.6,3,1.0000909256395
10.8,3,1.00008261617335
11,3,1.00007453017567
11.2,3,1.00006667122515
11.4,3,1.00005904290053
11.6,3,1.00005164878063
11.8,3,1.00004449244427
12,3,1.0000375774704
12.2,3,1.00003090743798
12.4,3,1.00002448592611
12.6,3,1.00001831651394
12.8,3,1.00001240278074
13,3,1.00000674830588
13.2,3,1.00000135666886
13.4,3,0.999996231449303
13.6,3,0.999991376226965
13.8,3,0.999986794581753
14,3,0.999982490093731
14.2,3,0.99997846634313
14.4,3,0.999974726910355
14.6,3,0.999971275376003
14.8,3,0.999968115320863
15,3,0.999965250325934
15.2,3,0.999962683972433
15.4,3,0.999960419841806
15.6,3,0.999958461515736
15.8,3,0.999956812576159
16,3,0.999955476605272
16.2,3,0.999954457185543
16.4,3,0.999953757899724
16.6,3,0.999953382330864
16.8,3,0.999953334062317
17,3,0.999953616677756
17.2,3,0.999954233761183
17.4,3,0.999955188896945
17.6,3,0.999956485669739
17.8,3,0.999958127664632
18,3,0.999960118467068
18.2,3,0.999962461662881
18.4,3,0.999965160838312
18.6,3,0.999968219580014
18.8,3,0.999971641475073
19,3,0.999975430111015
19.2,3,0.999979589075821
19.4,3,0.999984121957942
19.6,3,0.999989032346309
19.8,3,0.99999432383035
20,3,1
20.2,3,1.00000606444572
20.4,3,1.0000125207585
20.6,3,1.00001937246201
20.8,3,1.00002662018196
21,3,1.0000342606216
21.2,3,1.00004229020589
21.4,3,1.00005070536013
21.6,3,1.00005950250996
21.8,3,1.00006867808133
22,3,1.00007822850049
22.2,3,1.00008815019396
22.4,3,1.00009843958856
22.6,3,1.00010909311135
22.8,3,1.00012010718966
23,3,1.00013147825104
23.2,3,1.00014320272326
23.4,3,1.0001552770343
23.6,3,1.00016769761235
23.8,3,1.00018046088576
24,3,1.00019356328308
24.2,3,1.00020700123299
24.4,3,1.00022077116434
24.6,3,1.00023486950611
24.8,3,1.0002492926874
25,3,1.00026403713743
25.2,3,1.0002790992855
25.4,3,1.00029447556102
25.6,3,1.00031016239347
25.8,3,1.0003261562124
26,3,1.00034245344742
26.2,3,1.00035905052817
26.4,3,1.00037594388433
26.6,3,1.00039312994561
26.8,3,1.00041060514172
27,3,1.0004283659024
27.2,3,1.00044640865734
27.4,3,1.00046472983624
27.6,3,1.00048332586877
27.8,3,1.00050219318455
28,3,1.00052132821317
28.2,3,1.00054072738415
28.4,3,1.00056038712694
28.6,3,1.00058030387092
28.8,3,1.00060047404538
29,3,1.00062089407953
29.2,3,1.00064156040246
29.4,3,1.00066246944315
29.6,3,1.00068361763045
29.8,3,1.00070500139311
30,3,1.00072661715972
30.2,3,1.00074846135871
30.4,3,1.00077053041839
30.6,3,1.00079282076687
30.8,3,1.00081532883212
31,3,1.0008380510419
31.2,3,1.00086098382382
31.4,3,1.00088412360527
31.6,3,1.00090746681343
31.8,3,1.00093100987531
32,3,1.00095474921766
32.2,3,1.00097868126703
32.4,3,1.00100280244973
32.6,3,1.00102710919185
32.8,3,1.00105159791922
33,3,1.00107626505741
33.2,3,1.00110110703177
33.4,3,1.00112612026734
33.6,3,1.00115130118893
33.8,3,1.00117664622106
34,3,1.00120215178795
34.2,3,1.00122781431356
34.4,3,1.00125363022154
34.6,3,1.00127959593526
34.8,3,1.00130570787777
35,3,1.00133196247181
35.2,3,1.00135835613981
35.4,3,1.00138488530389
35.6,3,1.00141154638583
35.8,3,1.00143833580708
36,3,1.00146524998879
36.2,3,1.00149228535172
36.4,3,1.00151943831632
36.6,3,1.00154670530269
36.8,3,1.00157408273058
37,3,1.00160156701937
37.2,3,1.00162915458809
37.4,3,1.00165684185541
37.6,3,1.00168462523964
37.8,3,1.0017125011587
38,3,1.00174046603016
38.2,3,1.00176851627119
38.4,3,1.0017966482986
38.6,3,1.00182485852881
38.8,3,1.00185314337785
39,3,1.00188149926137
39.2,3,1.00190992259461
39.4,3,1.00193840979246
39.6,3,1.00196695726936
39.8,3,1.00199556143938
40,3,1.00202421871621
0,4,1.00069780916488
0.2,4,1.00068429640428
0.4,4,1.00067081314244
0.6,4,1.00065736252038
0.8,4,1.00064394767892
1,4,1.00063057175875
1.2,4,1.00061723790038
