"value","fit","lo","hi"
0,0.988023854985506,0.946806872665113,1.03103512047034
0.2,0.988199981775245,0.947489508761288,1.03065964841899
0.4,0.988375922767506,0.948171812969179,1.03028475572103
0.6,0.988551649189459,0.948853695667072,1.02991047785104
0.8,0.98872713224802,0.949535067108855,1.02953685009226
1,0.988902343129916,0.950215837432974,1.02916390752835
1.2,0.989077253001763,0.950895916671771,1.02879168503485
1.4,0.989251833010146,0.951575214761218,1.02842021727048
1.6,0.989426054281714,0.95225364155106,1.02804953866799
1.8,0.989599887923279,0.95293110681538,1.0276796834249
2,0.989773305021921,0.953607520263615,1.02731068549376
2.2,0.989946276645113,0.95428279155202,1.02694257857221
2.4,0.990118773840838,0.954956830295625,1.02657539609262
2.6,0.990290767637729,0.955629546080676,1.02620917121134
2.8,0.99046222904521,0.9563008484776,1.02584393679766
3,0.990633129053642,0.956970647054513,1.02547972542224
3.2,0.990803438634492,0.957638851391277,1.02511656934523
3.4,0.990973128740492,0.958305371094146,1.02475450050383
3.6,0.991142170305819,0.95897011581102,1.02439355049946
3.8,0.991310534246282,0.959632995247328,1.02403375058439
4,0.991478191459512,0.960293919182565,1.02367513164783
4.2,0.991645112825164,0.960952797487519,1.02331772420154
4.4,0.991811269205132,0.961609540142206,1.02296155836476
4.6,0.991976631443761,0.962264057254547,1.02260666384862
4.8,0.992141170368083,0.962916259079821,1.02225306993986
5,0.992304856788045,0.963566056040917,1.02190080548388
5.2,0.99246766149676,0.964213358749432,1.02154989886716
5.4,0.992629555270756,0.964858078027632,1.02120037799881
5.6,0.992790508870242,0.96550012493133,1.02085227029146
5.8,0.992950493039374,0.966139410773712,1.0205056026413
6,0.993109478506539,0.966775847150148,1.02016040140725
6.2,0.993267435984639,0.967409345964031,1.01981669238926
6.4,0.993424336171389,0.968039819453689,1.01947450080567
6.6,0.993580149749621,0.96866718022042,1.01913385126958
6.8,0.9937348473876,0.969291341257681,1.01879476776419
7,0.993888399739344,0.969912215981497,1.0184572736171
7.2,0.994040777444955,0.97052971826213,1.01812139147345
7.4,0.99419195113096,0.971143762457066,1.01778714326787
7.6,0.994341891410656,0.971754263445374,1.01745455019524
7.8,0.994490568884473,0.972361136663486,1.01712363268015
8,0.994637954140332,0.972964298142471,1.01679441034495
8.2,0.994784017754025,0.973563664546854,1.01646690197651
8.4,0.994928730289596,0.97415915321504,1.01614112549139
8.6,0.995072062299729,0.97475068220142,1.01581709789953
8.8,0.995213984326155,0.975338170320218,1.01549483526638
9,0.995354466900056,0.975921537191144,1.01517435267324
9.2,0.995493480542482,0.976500703286941,1.01485566417599
9.4,0.995630995764783,0.977075589982873,1.01453878276188
9.6,0.995766983069035,0.977646119608258,1.01422372030456
9.8,0.995901412948492,0.978212215500099,1.01391048751701
10,0.996034255888033,0.978773802058906,1.01359909390252
10.2,0.996165482364625,0.979330804806778,1.01328954770348
10.4,0.996295062847793,0.979883150447835,1.01298185584806
10.6,0.996422967800096,0.980430766931077,1.01267602389445
10.8,0.996549167677618,0.98097358351575,1.01237205597291
11,0.99667363293046,0.981511530839304,1.0120699547252
11.2,0.996796334003244,0.982044540988028,1.01176972124161
11.4,0.996917241335629,0.982572547570438,1.01147135499529
11.6,0.997036325362834,0.983095485793502,1.0111748537739
