"value","lag","rr"
0,0,1.00166958105676
0.2,0,1.00164719761082
0.4,0,1.00162485215734
0.6,0,1.00160254705489
0.8,0,1.00158028466183
1,0,1.00155806733631
1.2,0,1.00153589743628
1.4,0,1.00151377731949
1.6,0,1.0014917093435
1.8,0,1.00146969586563
2,0,1.00144773924304
2.2,0,1.00142584183269
2.4,0,1.00140400599132
2.6,0,1.00138223407549
2.8,0,1.00136052844157
3,0,1.00133889144573
3.2,0,1.00131732544396
3.4,0,1.00129583279205
3.6,0,1.0012744158456
3.8,0,1.00125307696005
4,0,1.00123181849062
4.2,0,1.00121064279238
4.4,0,1.00118955222021
4.6,0,1.00116854912881
4.8,0,1.00114763587269
5,0,1.00112681480622
5.2,0,1.00110608828358
5.4,0,1.00108545865877
5.6,0,1.00106492828565
5.8,0,1.00104449951789
6,0,1.001024174709
6.2,0,1.00100395621235
6.4,0,1.00098384638115
6.6,0,1.00096384756842
6.8,0,1.00094396212708
7,0,1.00092419240986
7.2,0,1.00090454076936
7.4,0,1.00088500955804
7.6,0,1.0008656011282
7.8,0,1.00084631783203
8,0,1.00082716202156
8.2,0,1.00080813604869
8.4,0,1.00078924226521
8.6,0,1.00077048302276
8.8,0,1.00075186067288
9,0,1.00073337756695
9.2,0,1.00071503605629
9.4,0,1.00069683849206
9.6,0,1.00067878722534
9.8,0,1.00066088460707
10,0,1.00064313298812
10.2,0,1.00062553471924
10.4,0,1.0006080921511
10.6,0,1.00059080763426
10.8,0,1.0005736835192
11,0,1.00055672215632
11.2,0,1.00053992589592
11.4,0,1.00052329708825
11.6,0,1.00050683808347
11.8,0,1.00049055123166
12,0,1.00047443888286
12.2,0,1.00045850338703
12.4,0,1.00044274709408
12.6,0,1.00042717235387
12.8,0,1.00041178151619
13,0,1.00039657693082
13.2,0,1.00038156094747
13.4,0,1.00036673591583
13.6,0,1.00035210418556
13.8,0,1.00033766810627
14,0,1.00032343002758
14.2,0,1.00030939229908
14.4,0,1.00029555727033
14.6,0,1.00028192729091
14.8,0,1.00026850471038
15,0,1.0002552918783
15.2,0,1.00024229114424
15.4,0,1.00022950485779
15.6,0,1.00021693536854
15.8,0,1.00020458502612
16,0,1.00019245618017
16.2,0,1.00018055118037
16.4,0,1.00016887237644
16.6,0,1.00015742211813
16.8,0,1.00014620275525
17,0,1.00013521663765
17.2,0,1.00012446611526
17.4,0,1.00011395353805
17.6,0,1.00010368125608
17.8,0,1.00009365161947
18,0,1.00008386697843
18.2,0,1.00007432968325
18.4,0,1.00006504208431
18.6,0,1.0000560065321
18.8,0,1.00004722537722
19,0,1.00003870097034
19.2,0,1.00003043566231
19.4,0,1.00002243180403
19.6,0,1.0000146916418
19.8,0,1.00000721513088
20,0,1
20.2,0,0.999993043886198
20.4,0,0.999986344426798
20.6,0,0.999979899259384
20.8,0,0.999973706021794
21,0,0.999967762352117
21.2,0,0.999962065888685
21.4,0,0.999956614270069
21.6,0,0.999951405135074
21.8,0,0.999946436122727
22,0,0.999941704872282
22.2,0,0.999937209023203
22.4,0,0.999932946215168
22.6,0,0.999928914088056
22.8,0,0.999925110281947
23,0,0.999921532437112
23.2,0,0.999918178194013
23.4,0,0.999915045193293
23.6,0,0.999912131075771
23.8,0,0.999909433482442
24,0,0.999906950054464
24.2,0,0.999904678433161
24.4,0,0.99990261626001
24.6,0,0.999900761176643
24.8,0,0.999899110824839
25,0,0.999897662846517
25.2,0,0.999896414883736
25.4,0,0.999895364578687
25.6,0,0.999894509573688
25.8,0,0.999893847511182
26,0,0.999893376033729
