term,term_type,grid_raw,effect,lo,hi,log_effect,log_se,ci_label
temp,SurfaceTerm,-26.6666666666667,1.1721125916678874,0.8651537546268078,1.5879812347795152,0.15880775451660156,0.0,pointwise confidence interval
temp,SurfaceTerm,-26.3666666666667,1.1764853187899147,0.8774245178341303,1.5774778082846586,0.16253145039081573,0.0,pointwise confidence interval
temp,SurfaceTerm,-26.0666666666667,1.1808351900365337,0.8897365792334435,1.5671736765391209,0.1662219762802124,0.0,pointwise confidence interval
temp,SurfaceTerm,-25.7666666666667,1.185149928828701,0.902050091181422,1.5570979566811924,0.1698692888021469,0.0,pointwise confidence interval
temp,SurfaceTerm,-25.4666666666667,1.1894162011960192,0.9143224751923558,1.54727783473762,0.17346259951591492,0.0,pointwise confidence interval
temp,SurfaceTerm,-25.1666666666667,1.1936200846216385,0.9265091877901944,1.537738562323673,0.17699077725410461,0.0,pointwise confidence interval
temp,SurfaceTerm,-24.8666666666667,1.197746442449264,0.9385646384721176,1.5285005226014452,0.18044182658195496,0.0,pointwise confidence interval
temp,SurfaceTerm,-24.5666666666667,1.201779433788607,0.9504429496459389,1.519579694936228,0.18380331993103027,0.0,pointwise confidence interval
temp,SurfaceTerm,-24.2666666666667,1.2057020844524025,0.9620989878441072,1.5109853921688357,0.18706203997135162,0.0,pointwise confidence interval
temp,SurfaceTerm,-23.9666666666667,1.209497420522187,0.9734908134935323,1.5027198921374751,0.190204918384552,0.0,pointwise confidence interval
temp,SurfaceTerm,-23.6666666666667,1.213147041261935,0.9845793692639901,1.4947761345261141,0.19321784377098083,0.0,pointwise confidence interval
temp,SurfaceTerm,-23.3666666666667,1.216632551708392,0.995331641068146,1.4871372563701415,0.1960868388414383,0.0,pointwise confidence interval
temp,SurfaceTerm,-23.0666666666667,1.2199348969591328,1.0057208700915072,1.4797755491374858,0.19879749417304993,0.0,pointwise confidence interval
temp,SurfaceTerm,-22.7666666666667,1.2230355654546048,1.0157289179396876,1.4726527599519263,0.20133593678474426,0.0,pointwise confidence interval
temp,SurfaceTerm,-22.4666666666667,1.2259152557233184,1.0253454303889862,1.465718936929406,0.20368771255016327,0.0,pointwise confidence interval
temp,SurfaceTerm,-22.1666666666667,1.2285557484276102,1.0345698753579615,1.4589147267334552,0.20583929121494293,0.0,pointwise confidence interval
temp,SurfaceTerm,-21.8666666666667,1.2309392369381587,1.0434101788229844,1.4521723439032632,0.2077774852514267,0.0,pointwise confidence interval
temp,SurfaceTerm,-21.5666666666667,1.2330488255540626,1.0518820920171017,1.4454180917603585,0.2094898223876953,0.0,pointwise confidence interval
temp,SurfaceTerm,-21.2666666666667,1.2348686279732075,1.0600069921544613,1.4385759147239925,0.21096459031105042,0.0,pointwise confidence interval
temp,SurfaceTerm,-20.9666666666667,1.2363849706173808,1.0678105680069956,1.4315720797010567,0.21219177544116974,0.0,pointwise confidence interval
temp,SurfaceTerm,-20.6666666666667,1.2375856831618828,1.0753186595777195,1.42433901757897,0.21316245198249817,0.0,pointwise confidence interval
temp,SurfaceTerm,-20.3666666666667,1.2384612984087318,1.0825544500482402,1.41682147035458,0.21386972069740295,0.0,pointwise confidence interval
temp,SurfaceTerm,-20.0666666666667,1.2390048661142006,1.0895335508473567,1.408981905202238,0.21430853009223938,0.0,pointwise confidence interval
temp,SurfaceTerm,-19.7666666666667,1.239212458641151,1.0962599734769465,1.4008059719456134,0.2144760638475418,0.0,pointwise confidence interval
temp,SurfaceTerm,-19.4666666666667,1.2390832239139287,1.102720750368617,1.392308284097952,0.21437177062034607,0.0,pointwise confidence interval
temp,SurfaceTerm,-19.1666666666667,1.2386207741089839,1.1088815307765147,1.383539521106461,0.213998481631279,0.0,pointwise confidence interval
temp,SurfaceTerm,-18.8666666666667,1.2378319749728846,1.1146805376193625,1.3745893523337822,0.2133614420890808,0.0,pointwise confidence interval
temp,SurfaceTerm,-18.5666666666667,1.2367283599774865,1.120024938843988,1.3655919465072308,0.21246947348117828,0.0,pointwise confidence interval
temp,SurfaceTerm,-18.2666666666667,1.235325461492172,1.1247876818551952,1.3567262697026126,0.2113344669342041,0.0,pointwise confidence interval
temp,SurfaceTerm,-17.9666666666667,1.2336434734867237,1.128809826766682,1.3482131211025956,0.20997196435928345,0.0,pointwise confidence interval
temp,SurfaceTerm,-17.6666666666667,1.2317074922155193,1.1319093540051144,1.3403046286451916,0.2084014117717743,0.0,pointwise confidence interval
temp,SurfaceTerm,-17.366666666666703,1.229546459816757,1.1339010213514975,1.3332596658622133,0.20664536952972412,0.0,pointwise confidence interval
temp,SurfaceTerm,-17.0666666666667,1.227194249817333,1.1346310241397093,1.3273087856262333,0.20473046600818634,0.0,pointwise confidence interval
temp,SurfaceTerm,-16.7666666666667,1.224688326552216,1.134017668829868,1.3226085787013295,0.2026863843202591,0.0,pointwise confidence interval
temp,SurfaceTerm,-16.4666666666667,1.2220698582138358,1.132091143981026,1.3192000894053595,0.2005460262298584,0.0,pointwise confidence interval
temp,SurfaceTerm,-16.1666666666667,1.2193828879293294,1.1290110487413691,1.3169885529751668,0.1983449012041092,0.0,pointwise confidence interval
temp,SurfaceTerm,-15.866666666666701,1.2166735607353503,1.125054517978136,1.3157536188137007,0.19612054526805878,0.0,pointwise confidence interval
temp,SurfaceTerm,-15.5666666666667,1.21398785462755,1.1205770263416623,1.3151853701611156,0.19391068816184998,0.0,pointwise confidence interval
temp,SurfaceTerm,-15.2666666666667,1.2113716865003445,1.115966419830973,1.3149332603367656,0.1917533427476883,0.0,pointwise confidence interval
